driver,gender,years_exp,bus_unit,d_type,age,n_trip,ping_speed,distance,travel_time,n_crash,fatalities,injuries,sce_CM,sce_HB,sce_HW,sce_RS,sce_N
d25517,M,26,Dedicated,LOC,72,662,38.5982643504532,120203.167,163227.542,0,0,0,5,13,62,0,80
d02588,M,0,Dedicated,REG,58,119,36.5192100840336,20470.925,29922.8,0,0,0,11,26,3,0,40
d18138,M,0,Intermodal,REG,68,523,35.720896749522,105216.979,157440.576,0,0,0,0,0,0,0,0
d26262,M,0,Dedicated,REG,72,173,36.0705606936416,24287.731,35493.362,0,0,0,0,0,0,0,0
d30629,M,,Dedicated,REG,61,1454,45.3167283356259,296942.359,342684.336,1,0,0,7,0,43,0,50
d15700,M,,Intermodal,LOC,59,892,27.4681121076233,196098.287,374486.101,2,0,0,2,20,28,0,50
d09193,M,,Intermodal,REG,57,1539,33.9159519168291,263940.493,428587.107,1,0,0,9,12,72,0,93
d10330,M,,Intermodal,REG,55,2273,34.8726797184338,94115.6159999999,216881.759,2,0,0,1,2,4,0,7
d28256,M,0,Dedicated,REG,65,1049,37.4011210676835,171377.927,237563.749,1,0,0,1,1,0,0,2
d31177,M,,Intermodal,LOC,63,1132,23.1794911660777,86712.3939999999,191706.415,1,0,0,0,16,0,0,16
d21677,M,16.5,Intermodal,LOC,52,189,18.7570740740741,15918.859,44628.299,0,0,0,0,0,0,0,0
d00951,M,,Intermodal,LOC,63,1436,15.6403669916435,72077.1129999999,250644.264,1,0,0,0,38,2,0,40
d11884,M,27.6,Intermodal,REG,71,1210,33.0887628099174,268162.175,429052.586,1,0,0,0,11,5,0,16
d21212,M,,Intermodal,REG,65,1225,35.3271575510204,279562.391,431549.835,1,0,0,8,6,85,0,99
d02999,M,0,Final-mile,OTR,56,66,32.2580151515152,9684.784,14327.329,1,0,0,0,2,0,0,2
d03622,M,,Intermodal,LOC,61,758,6.85421635883905,3483.75600000001,116923.021,4,0,0,1,0,0,7,8
d10749,M,0,Intermodal,LOC,76,111,27.6586936936937,12805.552,23071.562,0,0,0,0,7,1,0,8
d05878,M,0,Dedicated,REG,56,6,16.6221666666667,227.72,938.367,0,0,0,0,0,0,0,0
d21330,M,20,Final-mile,OTR,58,1627,44.4460817455439,211738.713,275738.504,4,0,0,0,0,1,0,1
d11136,M,0,Dedicated,OTR,75,450,35.0001066666667,71682.191,103887.04,1,0,0,0,9,8,0,17
d16302,M,,Dedicated,REG,56,1191,41.0260344248531,302099.357,396636.576,3,0,0,1,5,31,0,37
d14578,M,,Dedicated,REG,62,1465,32.7481883959044,279557.833,438431.158,1,0,0,1,3,4,0,8
d26191,M,,Dedicated,OTR,61,787,44.1960584498094,162450.69,207941.324,3,0,0,4,14,2,0,20
d06398,M,0,Final-mile,OTR,68,580,46.244725862069,152978.18,185326.736,3,0,0,4,6,69,0,79
d09929,M,0,Intermodal,REG,67,751,37.2456431424767,162058.245,238215.632,2,0,0,2,5,6,0,13
d18378,M,,Final-mile,REG,60,1384,40.863725433526,150627.901,198879.506,1,0,0,4,3,206,0,213
d27896,M,0,Final-mile,OTR,75,235,25.6945957446809,20884.775,41165.735,0,0,0,0,0,0,0,0
d04862,M,0,Final-mile,OTR,69,7,29.0534285714286,361.198,571.066,0,0,0,0,0,0,0,0
d17011,M,,Intermodal,REG,58,1339,36.8971538461539,292769.532,428642.553000001,1,0,0,3,5,0,0,8
d13292,M,,Dedicated,REG,57,1705,26.8286604105572,262243.246,478317.864,5,0,0,3,5,2,1,11
d12246,M,0,Intermodal,REG,71,449,30.3018040089087,74793.357,124181.777,0,0,0,0,0,0,0,0
d18191,M,21.7,Dedicated,REG,62,159,35.5053899371069,24321.123,36177.866,1,0,0,2,3,0,0,5
d09316,M,0,Final-mile,REG,65,133,38.7538195488722,29264.072,36544.966,0,0,0,1,2,0,0,3
d31308,M,16.6,Dedicated,OTR,61,894,19.0189015659955,117625.625,303000.93,0,0,0,20,13,2,1,36
d10872,M,,Dedicated,REG,62,1157,44.1064088159032,286424.808,370292.45,0,0,0,6,11,6,0,23
d07130,M,,Intermodal,REG,57,1348,33.6277255192878,214038.486,349930.453,3,0,0,15,0,125,0,140
d30922,M,0,Intermodal,REG,58,184,31.7142880434783,30324.354,47209.527,0,0,0,0,0,3,0,3
