driver,ping_time,speed,lat,long
sample_driver,2014-01-23T23:00:12Z,0,35.37,-77.93
sample_driver,2014-01-23T23:15:12Z,0,35.37,-77.93
sample_driver,2014-01-23T23:16:40Z,0,35.37,-77.93
sample_driver,2014-01-23T23:18:38Z,0,35.37,-77.93
sample_driver,2014-01-23T23:21:00Z,12,35.37,-77.93
sample_driver,2014-01-23T23:24:08Z,54,35.38,-77.94
sample_driver,2014-01-23T23:30:00Z,56,35.41,-78
sample_driver,2014-01-23T23:30:12Z,58,35.41,-78
sample_driver,2014-01-23T23:30:28Z,1,35.41,-78
sample_driver,2014-01-23T23:37:14Z,23,35.41,-78
sample_driver,2014-01-23T23:45:00Z,63,35.52,-77.99
sample_driver,2014-01-23T23:45:10Z,63,35.52,-77.99
sample_driver,2014-01-24T00:00:00Z,63,35.72,-78.01
sample_driver,2014-01-24T00:00:10Z,62,35.73,-78.01
sample_driver,2014-01-24T00:15:00Z,63,35.93,-77.9
sample_driver,2014-01-24T00:15:12Z,63,35.93,-77.9
sample_driver,2014-01-24T00:30:00Z,63,36.14,-77.79
sample_driver,2014-01-24T00:30:12Z,63,36.14,-77.79
sample_driver,2014-01-24T00:45:00Z,64,36.35,-77.68
sample_driver,2014-01-24T00:45:10Z,63,36.35,-77.68
sample_driver,2014-01-24T00:59:30Z,63,36.55,-77.58
sample_driver,2014-01-24T01:00:00Z,63,36.55,-77.57
sample_driver,2014-01-24T01:00:10Z,63,36.56,-77.57
sample_driver,2014-01-24T01:04:38Z,2,36.61,-77.56
sample_driver,2014-01-24T01:15:10Z,0,36.61,-77.56
sample_driver,2014-01-24T01:20:34Z,7,36.61,-77.56
sample_driver,2014-01-24T01:30:00Z,63,36.72,-77.53
sample_driver,2014-01-24T01:30:10Z,63,36.72,-77.53
sample_driver,2014-01-24T01:45:00Z,63,36.91,-77.4
sample_driver,2014-01-24T01:45:10Z,63,36.91,-77.4
sample_driver,2014-01-24T02:00:00Z,63,37.13,-77.36
sample_driver,2014-01-24T02:00:10Z,63,37.13,-77.36
sample_driver,2014-01-24T02:15:00Z,56,37.33,-77.34
sample_driver,2014-01-24T02:15:10Z,60,37.33,-77.34
sample_driver,2014-01-24T02:30:00Z,63,37.53,-77.27
sample_driver,2014-01-24T02:30:08Z,63,37.53,-77.28
sample_driver,2014-01-24T02:45:00Z,61,37.69,-77.45
sample_driver,2014-01-24T02:45:10Z,62,37.69,-77.45
sample_driver,2014-01-24T03:00:00Z,64,37.92,-77.46
sample_driver,2014-01-24T03:00:10Z,63,37.92,-77.46
sample_driver,2014-01-24T03:15:00Z,63,38.14,-77.51
sample_driver,2014-01-24T03:15:10Z,63,38.14,-77.51
sample_driver,2014-01-24T03:30:00Z,44,38.34,-77.49
sample_driver,2014-01-24T03:30:10Z,39,38.34,-77.5
sample_driver,2014-01-24T03:45:00Z,59,38.46,-77.67
sample_driver,2014-01-24T03:45:10Z,58,38.46,-77.67
sample_driver,2014-01-24T04:00:00Z,35,38.62,-77.8
sample_driver,2014-01-24T04:00:12Z,42,38.62,-77.8
sample_driver,2014-01-24T04:15:00Z,58,38.8,-77.82
sample_driver,2014-01-24T04:15:12Z,57,38.8,-77.81
sample_driver,2014-01-24T04:30:00Z,62,38.91,-77.99
sample_driver,2014-01-24T04:30:12Z,64,38.91,-78
sample_driver,2014-01-24T04:32:32Z,62,38.91,-78.04
sample_driver,2014-01-24T04:45:00Z,63,38.99,-78.24
sample_driver,2014-01-24T04:45:10Z,63,38.99,-78.24
sample_driver,2014-01-24T05:00:00Z,63,39.13,-78.18
sample_driver,2014-01-24T05:00:16Z,61,39.14,-78.18
sample_driver,2014-01-24T05:12:30Z,63,39.3,-78.08
sample_driver,2014-01-24T05:15:00Z,63,39.33,-78.07
sample_driver,2014-01-24T05:15:10Z,63,39.33,-78.07
sample_driver,2014-01-24T05:30:00Z,64,39.52,-77.93
sample_driver,2014-01-24T05:30:10Z,63,39.52,-77.93
sample_driver,2014-01-24T05:37:26Z,58,39.58,-77.83
sample_driver,2014-01-24T05:44:58Z,10,39.63,-77.81
sample_driver,2014-01-24T05:45:10Z,14,39.63,-77.81
sample_driver,2014-01-24T05:45:22Z,7,39.63,-77.81
sample_driver,2014-01-24T05:47:44Z,0,39.63,-77.81
sample_driver,2014-01-24T06:00:10Z,0,39.63,-77.81
sample_driver,2014-01-24T06:15:12Z,0,39.63,-77.81
sample_driver,2014-01-24T06:26:14Z,16,39.63,-77.81
sample_driver,2014-01-24T06:30:00Z,51,39.64,-77.83
sample_driver,2014-01-24T06:30:12Z,54,39.65,-77.84
sample_driver,2014-01-24T06:45:00Z,59,39.67,-78.08
sample_driver,2014-01-24T06:45:10Z,63,39.67,-78.08
sample_driver,2014-01-24T07:00:00Z,25,39.71,-78.28
sample_driver,2014-01-24T07:00:10Z,26,39.72,-78.28
sample_driver,2014-01-24T07:15:00Z,60,39.68,-78.48
sample_driver,2014-01-24T07:15:10Z,58,39.68,-78.49
sample_driver,2014-01-24T07:30:00Z,60,39.68,-78.68
sample_driver,2014-01-24T07:30:10Z,60,39.68,-78.68
sample_driver,2014-01-24T07:45:00Z,13,39.63,-78.77
sample_driver,2014-01-24T07:45:12Z,10,39.63,-78.77
sample_driver,2014-01-24T07:45:58Z,4,39.63,-78.77
sample_driver,2014-01-24T08:00:12Z,0,39.63,-78.77
sample_driver,2014-01-24T08:15:12Z,0,39.63,-78.77
sample_driver,2014-01-24T08:30:18Z,0,39.63,-78.77
sample_driver,2014-01-24T08:46:00Z,0,39.63,-78.77
sample_driver,2014-01-24T08:48:40Z,0,39.63,-78.77
sample_driver,2014-01-24T08:54:08Z,11,39.63,-78.77
sample_driver,2014-01-24T09:00:00Z,11,39.65,-78.76
sample_driver,2014-01-24T09:02:38Z,41,39.66,-78.74
sample_driver,2014-01-24T09:15:00Z,56,39.71,-78.58
sample_driver,2014-01-24T09:15:14Z,58,39.71,-78.57
sample_driver,2014-01-24T09:18:08Z,34,39.69,-78.53
sample_driver,2014-01-24T09:20:16Z,66,39.69,-78.5
sample_driver,2014-01-24T09:30:00Z,66,39.7,-78.36
sample_driver,2014-01-24T09:30:10Z,67,39.7,-78.36
sample_driver,2014-01-24T09:45:00Z,56,39.7,-78.15
sample_driver,2014-01-24T09:45:10Z,60,39.69,-78.15
sample_driver,2014-01-24T10:00:00Z,64,39.65,-77.9
sample_driver,2014-01-24T10:00:10Z,64,39.65,-77.9
sample_driver,2014-01-24T10:10:48Z,56,39.58,-77.83
sample_driver,2014-01-24T10:15:00Z,62,39.56,-77.9
sample_driver,2014-01-24T10:15:14Z,61,39.56,-77.9
sample_driver,2014-01-24T10:30:00Z,62,39.37,-78.04
sample_driver,2014-01-24T10:30:10Z,62,39.37,-78.04
sample_driver,2014-01-24T10:35:44Z,48,39.29,-78.08
sample_driver,2014-01-24T10:42:06Z,0,39.29,-78.09
sample_driver,2014-01-24T10:45:10Z,0,39.29,-78.09
sample_driver,2014-01-24T11:00:10Z,0,39.29,-78.09
sample_driver,2014-01-24T11:10:30Z,9,39.29,-78.09
sample_driver,2014-01-24T11:15:00Z,63,39.25,-78.11
sample_driver,2014-01-24T11:15:12Z,63,39.25,-78.11
sample_driver,2014-01-24T11:30:00Z,62,39.06,-78.24
sample_driver,2014-01-24T11:30:12Z,45,39.06,-78.24
sample_driver,2014-01-24T11:45:00Z,63,38.95,-78.17
sample_driver,2014-01-24T11:45:10Z,63,38.95,-78.17
sample_driver,2014-01-24T12:00:00Z,64,38.89,-77.91
sample_driver,2014-01-24T12:00:12Z,66,38.89,-77.91
sample_driver,2014-01-24T12:15:00Z,63,38.82,-77.65
sample_driver,2014-01-24T12:15:10Z,63,38.82,-77.65
sample_driver,2014-01-24T12:26:26Z,5,38.81,-77.49
sample_driver,2014-01-24T12:29:20Z,0,38.81,-77.49
sample_driver,2014-01-24T12:45:10Z,0,38.81,-77.49
sample_driver,2014-01-24T13:00:10Z,0,38.81,-77.49
sample_driver,2014-01-24T13:15:12Z,0,38.81,-77.49
sample_driver,2014-01-24T13:30:12Z,0,38.81,-77.49
sample_driver,2014-01-24T13:35:06Z,0,38.81,-77.49
sample_driver,2014-01-24T13:45:10Z,0,38.81,-77.49
sample_driver,2014-01-24T14:00:10Z,0,38.81,-77.49
sample_driver,2014-01-24T14:15:18Z,0,38.81,-77.49
sample_driver,2014-01-24T14:30:12Z,0,38.81,-77.49
sample_driver,2014-01-24T14:43:52Z,0,38.81,-77.49
sample_driver,2014-01-24T14:45:22Z,0,38.81,-77.49
sample_driver,2014-01-24T15:00:12Z,0,38.81,-77.49
sample_driver,2014-01-24T15:15:12Z,0,38.81,-77.49
sample_driver,2014-01-24T15:30:12Z,0,38.81,-77.49
sample_driver,2014-01-24T15:45:12Z,0,38.81,-77.49
sample_driver,2014-01-24T16:00:12Z,0,38.81,-77.49
sample_driver,2014-01-24T16:15:12Z,0,38.81,-77.49
sample_driver,2014-01-24T16:30:14Z,0,38.81,-77.49
sample_driver,2014-01-24T16:45:12Z,0,38.81,-77.49
sample_driver,2014-01-24T17:00:10Z,0,38.81,-77.49
sample_driver,2014-01-24T17:15:12Z,0,38.81,-77.49
sample_driver,2014-01-24T17:30:12Z,0,38.81,-77.49
sample_driver,2014-01-24T17:45:10Z,0,38.81,-77.49
sample_driver,2014-01-24T18:00:12Z,0,38.81,-77.49
sample_driver,2014-01-24T18:15:10Z,0,38.81,-77.49
sample_driver,2014-01-24T18:30:12Z,0,38.81,-77.49
sample_driver,2014-01-24T18:45:10Z,0,38.81,-77.49
sample_driver,2014-01-24T19:00:44Z,0,38.81,-77.49
sample_driver,2014-01-24T19:15:12Z,0,38.81,-77.49
sample_driver,2014-01-24T19:30:10Z,0,38.81,-77.49
sample_driver,2014-01-24T19:45:10Z,0,38.81,-77.49
sample_driver,2014-01-24T20:00:12Z,0,38.81,-77.49
sample_driver,2014-01-24T20:15:10Z,0,38.81,-77.49
sample_driver,2014-01-24T20:30:10Z,0,38.81,-77.49
sample_driver,2014-01-24T20:45:10Z,0,38.81,-77.49
sample_driver,2014-01-24T21:00:10Z,0,38.81,-77.49
sample_driver,2014-01-24T21:15:12Z,0,38.81,-77.49
sample_driver,2014-01-24T21:30:12Z,0,38.81,-77.49
sample_driver,2014-01-24T21:45:12Z,0,38.81,-77.49
sample_driver,2014-01-24T22:00:12Z,0,38.81,-77.49
sample_driver,2014-01-24T22:15:10Z,0,38.81,-77.49
sample_driver,2014-01-24T22:30:12Z,0,38.81,-77.49
sample_driver,2014-01-24T22:45:10Z,0,38.81,-77.49
sample_driver,2014-01-24T23:00:10Z,0,38.81,-77.49
sample_driver,2014-01-24T23:06:20Z,23,38.81,-77.49
sample_driver,2014-01-24T23:15:00Z,55,38.86,-77.37
sample_driver,2014-01-24T23:15:10Z,57,38.86,-77.37
sample_driver,2014-01-24T23:30:00Z,58,38.8,-77.21
sample_driver,2014-01-24T23:30:10Z,58,38.8,-77.21
sample_driver,2014-01-24T23:40:36Z,54,38.79,-77.03
sample_driver,2014-01-24T23:45:00Z,57,38.81,-76.97
sample_driver,2014-01-24T23:45:10Z,59,38.81,-76.96
sample_driver,2014-01-25T00:00:00Z,54,38.81,-76.75
sample_driver,2014-01-25T00:00:12Z,52,38.81,-76.75
sample_driver,2014-01-25T00:04:54Z,1,38.81,-76.7
